step,tokens_seen,torchtitan_1gpu_loss,autoparallel_dp2_tp2_loss
1,16384,12.370559692382812,12.35139274597168
2,32768,10.811031341552734,11.850981712341309
3,49152,12.150374412536621,13.678144454956055
4,65536,10.8790283203125,11.0912446975708
5,81920,10.349281311035156,10.893821716308594
6,98304,9.95474910736084,10.321163177490234
7,114688,9.697257041931152,9.989482879638672
8,131072,9.576688766479492,9.725540161132812
9,147456,9.178173065185547,9.690787315368652
10,163840,8.957210540771484,9.308286666870117
11,180224,8.946296691894531,9.153558731079102
12,196608,8.927513122558594,9.035903930664062
13,212992,8.754939079284668,9.028413772583008
14,229376,8.664342880249023,8.798540115356445
15,245760,8.630367279052734,8.882816314697266
16,262144,8.474781036376953,8.784974098205566
17,278528,8.515673637390137,8.689208984375
18,294912,8.267213821411133,8.562541961669922
19,311296,8.485296249389648,8.435615539550781
20,327680,8.131475448608398,8.432969093322754
